TCGA.A7.A0CE.11	TCGA.A7.A0CH.11	TCGA.A7.A0D9.11	TCGA.A7.A0DB.11	TCGA.A7.A13E.11	TCGA.A7.A13F.11	TCGA.A7.A13G.11	TCGA.AC.A23H.11	TCGA.AC.A2FB.11	TCGA.AC.A2FF.11	TCGA.A1.A0SK.01	TCGA.A1.A0SP.01	TCGA.A2.A04P.01	TCGA.A2.A04Q.01	TCGA.A2.A04T.01	TCGA.A2.A04U.01	TCGA.A2.A0CM.01	TCGA.A2.A0D0.01	TCGA.A2.A0D2.01	TCGA.A2.A0ST.01	TCGA.A2.A0SX.01
NORMAL	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
A1BG	154.473	109.3484	15.7841	19.0722	41.5445	67.5258	17.4868	38.5795	75.5676	87.5849	86.6436	36.7749	108.75	114.2345	65.4994	300.8495	49.4566	20.5931	25.0564	109.2332	61.9204
A1BG-AS1	171.5365	131.197	33.7322	33.5206	69.545	128.3251	22.1065	88.7772	115.5644	167.9573	65.2821	57.3076	87.6193	150.3355	164.9205	78.3271	85.0213	17.43	60.3733	103.852	74.8812
A1CF	0.6349	0	0	0	0	0	0	0	0	0.5589	0	0	0	0	0	1.0391	0	0	0	0	0
A2M	40198.2063	32634.9299	44700.9521	41867.0567	50626.1321	30585.357	41476.405	37640.8373	43303.4565	36954.5029	4190.3561	5247.5812	9295.5861	12783.2086	12571.4787	43495.8514	7966.7244	112471.0008	38218.3737	15288.1531	8937.6622
A2M-AS1	51.9524	83.0766	100.4735	72.634	88.456	105.7072	163.2859	90.9813	82.351	55.4483	25.2127	44.6479	15.0985	23.5789	71.484	104.6162	13.4303	79.6582	30.0092	22.7227	28.9403
A2ML1	16.8254	19.5581	22.9124	9.7938	3.9032	9.8788	1.6267	33.9923	11.1253	17.3258	24.8976	853.703	1645.7469	2293.4825	13868.3822	681.1274	949.8096	4.5305	0.7392	1074.9652	870.5845
A4GALT	627.3016	924.1185	542.7699	648.4536	505.9505	469.2411	377.7959	276.59	489.5114	329.4704	79.7353	775.6293	150.4149	439.2595	124.837	247.8244	131.0719	62.603	124.9307	557.3735	297.6879
A4GNT	1.9048	0.3761	19.3483	3.0928	1.9516	0.449	4.0667	1.0734	1.8041	0.2794	0.6303	2.189	0	1.5426	0	0	0.923	0.8237	0.3696	0.8555	0.3211
AAAS	780	815.7969	595.723	557.2165	612.8003	672.6538	524.1968	473.0298	582.4224	698.902	1015.1276	722.7289	813.278	635.1716	372.4246	676.4515	515.9802	763.5914	744.0399	542.4019	688.8247
AACS	1132.0635	2177.7151	710.7943	1265.4639	1615.4312	1501.5716	1621.7975	1001.8785	847.9252	2725.7459	2421.6829	871.2149	904.0456	637.8712	416.9347	306.5333	591.208	1846.3756	1024.5796	617.2602	889.21
AACSP1	1.2698	0	0	0	0.4879	1.7961	0.4067	0	0	0.5589	0.3152	0	0.5187	0.3857	1.3909	0	0.4615	0	0	0.8555	0.3211
AADAC	19.6825	101.9276	619.1446	371.6495	45.8624	208.352	433.9162	219.6976	88.4007	0.8383	0	0.7297	0	0	0.3477	2.0782	0	16.8863	0.3696	5.9887	5.4592
AADACL2	1.2698	5.6417	7.6375	20.6186	2.9274	0	1.6267	2.8625	10.2232	0	6.9335	0	0	0.3857	0	0	0	0	0	0	0
AADACL3	5.0794	34.9788	6.11	1.5464	61.4752	65.559	1.6267	0	2.4055	0	0	0	0	0	0	0	0	101.7298	0.3696	0	0.3211
AADACL4	0	1.5045	0	0	0.4879	1.3471	0.8133	0.7156	0	0	0.3152	0	0.5187	0	0	0	0.4615	0	0	0	0
AADACP1	5.0794	13.1641	14.2566	34.0206	2.9274	2.6942	7.32	4.2938	4.5102	3.9123	0	0.7297	2.5934	3.0852	0.6955	5.1955	0	2.0593	0	4.7054	4.1747
AADAT	58.7302	250.8698	78.9206	56.1856	53.6688	86.2146	80.9272	98.041	67.3529	143.3574	425.78	356.8041	74.6888	111.0683	159.6105	961.6833	238.1447	308.0725	174.4594	115.0679	155.7482
AAED1	210.7937	232.8162	290.224	303.6082	222.9695	195.33	398.536	237.2305	261.8946	195.0554	166.404	103.9767	253.112	134.5931	191.9499	293.5446	209.5304	163.5091	186.2872	177.9489	212.9094
AAGAB	1448.8889	1077.9502	673.6253	807.732	947.0106	733.7225	706.7914	1015.1176	1018.1116	1282.1122	1959.6596	1437.0668	569.5021	1054.7628	1241.763	579.296	753.2018	1079.9012	1550.1756	825.5802	765.5748
AAK1	966.9841	828.5849	1032.0774	1192.268	1302.6884	1044.9035	2246.4416	1168.9775	966.9956	1115.5606	511.1882	584.4582	692.9461	904.3579	787.9684	615.6644	767.5089	668.0395	572.907	849.107	1152.5369
AAMDC	394.4222	705.2186	820.2444	576.8041	491.0696	546.026	365.9252	198.0392	406.2133	229.1482	125.7737	200.8136	545.332	372.1558	237.3642	307.5724	188.3004	266.8863	107.1891	508.6087	162.1708
